name,Preprocess,Extraction,Reduction,Clustering,v-measure,completeness,homogeneity,ARI,Time (s)
dl_-W2V-0_TruncatedSVD_BIRCH,dl,-W2V-0,TruncatedSVD,BIRCH,0.1021,0.1414,0.0799,0.0544,18.1
dl_-W2V-0_TruncatedSVD_GausMix,dl,-W2V-0,TruncatedSVD,GausMix,0.2232,0.2524,0.2001,0.1271,18.2
dl_-W2V-0_TSNE_kmeans,dl,-W2V-0,TSNE,kmeans,0.4171,0.4262,0.4084,0.2808,24.8
dl_-W2V-0_TSNE_MBKMeans,dl,-W2V-0,TSNE,MBKMeans,0.4389,0.4433,0.4345,0.3026,24.7
dl_-W2V-0_TSNE_AggloClust,dl,-W2V-0,TSNE,AggloClust,0.4313,0.4424,0.4207,0.2811,31.3
dl_-W2V-0_TSNE_BIRCH,dl,-W2V-0,TSNE,BIRCH,0.4227,0.4341,0.4119,0.2697,35.0
dl_-W2V-0_TSNE_GausMix,dl,-W2V-0,TSNE,GausMix,0.4341,0.4446,0.4241,0.2846,32.8
dl_-W2V-1_TruncatedSVD_kmeans,dl,-W2V-1,TruncatedSVD,kmeans,0.0898,0.1177,0.0726,0.0296,47.5
dl_-W2V-1_TruncatedSVD_MBKMeans,dl,-W2V-1,TruncatedSVD,MBKMeans,0.0854,0.1037,0.0727,0.0293,47.4
dl_-W2V-1_TruncatedSVD_AggloClust,dl,-W2V-1,TruncatedSVD,AggloClust,0.0936,0.1252,0.0747,0.0275,47.3
dl_-W2V-1_TruncatedSVD_BIRCH,dl,-W2V-1,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,47.3
dl_-W2V-1_TruncatedSVD_GausMix,dl,-W2V-1,TruncatedSVD,GausMix,0.0905,0.1088,0.0775,0.0354,47.7
dl_-W2V-1_TSNE_kmeans,dl,-W2V-1,TSNE,kmeans,0.3995,0.4016,0.3974,0.3104,75.8
dl_-W2V-1_TSNE_MBKMeans,dl,-W2V-1,TSNE,MBKMeans,0.4449,0.4524,0.4376,0.3182,60.1
dl_-W2V-1_TSNE_AggloClust,dl,-W2V-1,TSNE,AggloClust,0.4065,0.4161,0.3974,0.2771,61.8
dl_-W2V-1_TSNE_BIRCH,dl,-W2V-1,TSNE,BIRCH,0.4172,0.4224,0.4122,0.2958,78.0
dl_-W2V-1_TSNE_GausMix,dl,-W2V-1,TSNE,GausMix,0.4102,0.417,0.4036,0.2993,74.9
